Year,agencyName,service,Activity,dollars
2012,Courts Orphans Court,Orphans Court,Administration of Estates,346306
2012,Courts Orphans Court,Orphans Court,Guardianship of Property of Minors,71441
2012,Courts Orphans Court,Orphans Court,Guardianship of Minors,48113
2012,Employees Retirement Systems,Employees Retirement System  Administration,Administration,2197278
2012,Employees Retirement Systems,Employees Retirement System  Administration,Workers' Compensation Expenses,2445
2012,Employees Retirement Systems,Fire and Police Retirement System  Administration,Administration,2357366
2012,Employees Retirement Systems,Fire and Police Retirement System  Administration,Legal Services,321783
2012,Employees Retirement Systems,Fire and Police Retirement System  Administration,Workers' Compensation Expenses,87
2012,Enoch Pratt Free Library,Information Services,Executive Direction,753627
2012,Enoch Pratt Free Library,Information Services,Human Resources,493616
2012,Enoch Pratt Free Library,Information Services,Fiscal Management,622694
2012,Enoch Pratt Free Library,Information Services,"Exhibits, Publicity, and Printing",508206
2012,Enoch Pratt Free Library,Information Services,Facilities Management,614215
2012,Enoch Pratt Free Library,Information Services,Collection Management,1872461
2012,Enoch Pratt Free Library,Information Services,Pratt Center for Technology and Training,147079
2012,Enoch Pratt Free Library,Information Services,Young Adult Services,63677
2012,Enoch Pratt Free Library,Information Services,Student Services,200685
2012,Enoch Pratt Free Library,Information Services,Services to Inmates,173263
2012,Enoch Pratt Free Library,Information Services,Delivery Services,429307
2012,Enoch Pratt Free Library,Information Services,Neighborhood Facility Services,2711887
2012,Enoch Pratt Free Library,Information Services,Public Services Citywide,7583426
2012,Enoch Pratt Free Library,Information Services,Maryland Interlibrary Loan,474643
2012,Enoch Pratt Free Library,Information Services,Public Services,3692214
2012,Enoch Pratt Free Library,Information Services,Central Facility Services,2854007
2012,Enoch Pratt Free Library,Information Services,Regional Information Center,55620
2012,Enoch Pratt Free Library,Information Services,Audio‐Visual Field Services,456878
2012,Enoch Pratt Free Library,Information Services,Sailor Operations,568023
2012,Enoch Pratt Free Library,Information Services,State Depository and Publications,117053
2012,Enoch Pratt Free Library,Information Services,Information Access,246755
2012,Enoch Pratt Free Library,Information Services,Resource Delivery,996320
2012,Enoch Pratt Free Library,Information Services,Courier Delivery Services,71884
2012,Enoch Pratt Free Library,Information Services,Maryland Department,287785
2012,Enoch Pratt Free Library,Information Services,African‐American Department,290886
2012,Enoch Pratt Free Library,Information Services,SLRC Management,203513
2012,Enoch Pratt Free Library,Information Services,WEB Management,478572
2012,Enoch Pratt Free Library,Information Services,Public Service Materials,611667
2012,Enoch Pratt Free Library,Information Services,Workers Compensation Expenses,90999
2012,Enoch Pratt Free Library,Information Services,NONE,0
2012,Finance,Revenue Collection,General Collections,6988447
2012,Finance,Revenue Collection,Parking Fine Collections,3654749
2012,Finance,Revenue Collection,Inspection Collections,412621
2012,Finance,Treasury and Debt Management,Treasury Management,773405
2012,Finance,Administration  Finance,Administration,1151432
2012,Finance,Administration  Finance,Workers Compensation Expenses,97201
2012,Finance,Procurement,Procurement,1678330
2012,Finance,Surplus Property Disposal,Surplus Property Disposal,127780
2012,Finance,Printing Services,Printing Services,3687944
2012,Finance,Accounts Payable,Accounts Payable,1052234
2012,Finance,Payroll,Payroll,3196952
2012,Finance,Accounting,Accounting,2383373
2012,Finance,Loan and Guarantee Program,Loan and Guarantee Program,2610971
2012,Finance,Risk Management for Employee Injuries,Risk Management for Employee Injuries,6907838
2012,Finance,Operating Budget Management,Operating Budget Management,1318741
2012,Finance,Operating Budget Management,Management Research,153896
2012,Finance,Operating Budget Management,Grants Management,0
2012,Finance,Fiscal Integrity  Recovery,Property Tax Billing Integrity and Recovery Unit,90423
2012,Finance,Finance Project Management,Finance Project Management,195740
2012,Fire,Administration  Fire,Administration,1631662
2012,Fire,Administration  Fire,Finance,917841
2012,Fire,Administration  Fire,Human Resources,733621
2012,Fire,Administration  Fire,Information Technology,1121624
2012,Fire,Administration  Fire,Workers Compensation Expenses,8074611
2012,Fire,Fire Suppression and Emergency Rescue,Fire Safety Office,766797
2012,Fire,Fire Suppression and Emergency Rescue,Land Suppression,98796566
2012,Fire,Fire Suppression and Emergency Rescue,Marine Suppression,2722342
2012,Fire,Fire Suppression and Emergency Rescue,HAZMAT Operations,543322
2012,Fire,Emergency Management,Administration,320587
2012,Fire,Emergency Medical Services,Administration,24792237
2012,Fire,Emergency Medical Services,EMS Training,0
2012,Fire,Fire and Emergency Community Outreach,EMS ‐ Public Education,264035
2012,Fire,Fire and Emergency Community Outreach,Recruitment,0
2012,Fire,Fire and Emergency Community Outreach,Operation CARE,0
2012,Fire,Fire Code Enforcement,Fire Code Enforcement,3087278
2012,Fire,Fire Investigation,Fire Investigation,937514
2012,Fire,Fire Facilities Maintenance and Replacement,Apparatus Coordinator,8334525
2012,Fire,Fire Facilities Maintenance and Replacement,Facilities Maintenance and Replacement,1496315
2012,Fire,Fire Facilities Maintenance and Replacement,Fire & EMS Supply,1326737
2012,Fire,Fire Facilities Maintenance and Replacement,Respiratory Equipment Repair,534136
2012,Fire,Fire Communications and Dispatch,Fire Communications and Dispatch,3843791
2012,Fire,Fire Communications and Dispatch,Radio Repair Shop,150935
2012,Fire,Fire Training and Education,EMS Training,1292046
2012,Fire,Fire Training and Education,Fire Suppression Training,1240213
2012,General Services,Fleet Management,Administration,7040857
2012,General Services,Fleet Management,Equipment Repair,29835301
2012,General Services,Fleet Management,Fleet Support Services,14770626
2012,General Services,Fleet Management,Vehicle Purchases,0
2012,General Services,Fleet Management,Information Technology Expenses,648068
2012,General Services,Administration  General Services,Administrative Direction & Control,350054
2012,General Services,Administration  General Services,Fiscal Services,374673
2012,General Services,Administration  General Services,Human Resources,265930
2012,General Services,Administration  General Services,Information Technology,0
2012,General Services,Administration  General Services,Workers Compensation Expenses,298832
2012,General Services,Building Permits and Municipal Consents,Permits & Services Inspection,1307913
2012,General Services,Real Property Database Management,Property Location,558563
2012,General Services,Public and Private Energy Performance,Business Development and Planning,1431417
2012,General Services,Public and Private Energy Performance,Administration,0
2012,General Services,Public and Private Energy Performance,Exelon Co‐generation,0
2012,General Services,Public and Private Energy Performance,Exelon Retrofit Loans,0
2012,General Services,Public and Private Energy Performance,Transfers,65694
2012,General Services,Facilities Management,Building Maintenance,14504484
2012,General Services,Facilities Management,Design and Construction,691069
2012,General Services,Facilities Management,City Hall Repairs,0
2012,General Services,Facilities Management,War Memorial,0
2012,General Services,Facilities Management,Contract Maintenance,0
2012,General Services,Facilities Management,ESCO Costs ‐ Johnson Controls,2428627
2012,General Services,Facilities Management,ESCO Costs ‐ Custom Energy,524259
2012,General Services,Facilities Management,ESCO Costs ‐ PEPCO,36284
2012,General Services,Facilities Management,Unallocated,0
2012,General Services,Building and Energy Improvements,Design and Construction,0
2012,Health,Clinical Services,Clinical Services Administration,723162
2012,Health,Clinical Services,BDC Laboratory,288878
2012,Health,Clinical Services,Tuberculosis Control,1019802
2012,Health,Clinical Services,Sexually Transmitted Disease Control,4689070
2012,Health,Clinical Services,Case Management HIV Treatment,213968
2012,Health,Clinical Services,HIV,1423540
2012,Health,Clinical Services,Primary Care HIV Treatment,0
2012,Health,Clinical Services,HIV Prevention,367375
2012,Health,Clinical Services,Family Planning,0
2012,Health,Clinical Services,Dental Services,621726
2012,Health,Clinical Services,Healthy Teens and Young Adults,0
2012,Health,Clinical Services,Immunization,0
2012,Health,Healthy Homes,Healthy Homes ‐ Match,140983
2012,Health,Healthy Homes,Healthy Homes Inspections and Enforcement,598087
2012,Health,Healthy Homes,Healthy Start,31757
2012,Health,Healthy Homes,Lead Poisoning Prevention,2234654
2012,Health,Substance Abuse and Mental Health,Mentally Retarded Citizens,549359
2012,Health,Substance Abuse and Mental Health,Alcoholism Program ‐ Youth,624479
2012,Health,Substance Abuse and Mental Health,Mental Health and Addictions Administration,22068
2012,Health,Substance Abuse and Mental Health,Substance Abuse,2110988
2012,Health,Substance Abuse and Mental Health,Drug Abuse Services,18774
2012,Health,Substance Abuse and Mental Health,Temporary Cash Assistance Clients,2335
2012,Health,Maternal and Child Health,Family Planning,2409520
2012,Health,Maternal and Child Health,Comprehensive Health Services,154095
2012,Health,Maternal and Child Health,WIC Supplemental Food,2415150
2012,Health,Maternal and Child Health,Children and Youth,3898514
2012,Health,Maternal and Child Health,Maternal and Infant Nursing,490950
2012,Health,Maternal and Child Health,Infants and Toddlers,3321825
2012,Health,Maternal and Child Health,Healthy Start/State,6349
2012,Health,Maternal and Child Health,Healthy Teens and Young Adults,1739146
2012,Health,Maternal and Child Health,Immunization,576082
2012,Health,Maternal and Child Health,Maryland Children's Health Program,5933513
2012,Health,Maternal and Child Health,Operation Safe Kids,20163
2012,Health,Maternal and Child Health,Reach Out and Read,87074
2012,Health,Maternal and Child Health,Medical Home,28621
2012,Health,Maternal and Child Health,Babies Born Healthy Initiative,990757
2012,Health,School Health Services,School Health,15900058
2012,Health,Health Services for Seniors,Retired Senior Volunteers,62506
2012,Health,Health Services for Seniors,Senior Companions,166936
2012,Health,Health Services for Seniors,Senior Aides,225139
2012,Health,Health Services for Seniors,Geriatric Evaluation Services,1314606
2012,Health,Health Services for Seniors,Personal Care Services,3043234
2012,Health,Health Services for Seniors,Special Support Services,664582
2012,Health,Health Services for Seniors,Men's Health Center,7451
2012,Health,Emergency Services  Health,Acute Communicable Diseases,701953
2012,Health,Emergency Services  Health,Field Health Services,11166779
2012,Health,Emergency Services  Health,Preparedness and Response to Bioterrorism,0
2012,Health,Youth Violence Prevention,Operation Safe Kids,1737815
2012,Health,Youth Violence Prevention,Safe Streets,11951
2012,Health,Administration  Health,Administrative Services,966609
2012,Health,Administration  Health,Facilities,1019727
2012,Health,Administration  Health,Fiscal Services,807259
2012,Health,Administration  Health,Information Technology,274163
2012,Health,Administration  Health,OPP Legislative Affairs,202286
2012,Health,Administration  Health,Human Resources,432649
2012,Health,Administration  Health,Epidemiology,48112
2012,Health,Administration  Health,Workers Compensation Expenses,310434
2012,Health,Animal Services,Animal Enforcement,2677961
2012,Health,Animal Services,Animal Care and Rescue,0
2012,Health,Environmental Health,Default Activity,0
2012,Health,Environmental Health,Administration,638021
2012,Health,Environmental Health,Food Control,2078322
2012,Health,Environmental Health,Vector Control,41927
2012,Health,Environmental Health,Ecology/Institutional Safety,455459
2012,Health,Environmental Health,Design Review,170062
2012,Health,Environmental Health,Child and Adult Care Food ‐ Admin.,1919973
2012,Health,Chronic Disease Prevention,Administration,823429
2012,Health,Chronic Disease Prevention,Personal Care,84037
2012,Health,Chronic Disease Prevention,RSVP,71520
2012,Health,Chronic Disease Prevention,Senior Aid Program,268530
2012,Health,Chronic Disease Prevention,Senior Companions,212757
2012,Health,Chronic Disease Prevention,Needle Exchange,798446
2012,Health,Chronic Disease Prevention,Prevention,327938
2012,Health,Chronic Disease Prevention,Communicable Disease,117665
2012,Health,Chronic Disease Prevention,Health Disparities Initiative,380188
2012,Health,Chronic Disease Prevention,Tobacco Cessation,150676
2012,Health,Chronic Disease Prevention,"Cancer Education, Screening and Prevention",1048242
2012,Health,HIV Treatment Services for the Uninsured,Administration,0
2012,Health,HIV Treatment Services for the Uninsured,Case Management HIV Treatment,151858
2012,Health,HIV Treatment Services for the Uninsured,HIV,0
2012,Health,HIV Treatment Services for the Uninsured,Needle Exchange,0
2012,Health,HIV Treatment Services for the Uninsured,Primary Care HIV Treatment,270764
2012,Health,HIV Treatment Services for the Uninsured,HIV Prevention,0
2012,Health,HIV Treatment Services for the Uninsured,Communicable Disease,22725689
2012,Health,Senior Centers,Senior Centers,2342358
2012,Health,Senior Centers,John Booth Center,100451
2012,Health,Senior Centers,Facility Operations,131913
2012,Health,Senior Centers,Zeta Center,137032
2012,Health,Administration  CARE,Executive Direction,192457
2012,Health,Administration  CARE,Operations Planning/Technical,101557
2012,Health,Administration  CARE,Community Services,72708
2012,Health,Administration  CARE,Workers Compensation Expenses,41823
2012,Health,Advocacy and Supportive Care for Seniors,Advocacy and Supportive Care,3949198
2012,Health,Assistive and Directive Care for Seniors,Assistive and Directive Care,3677601
2012,Health,Community Services for Seniors,Senior Education,1084061
2012,Housing and Community Development,Community Support Projects,Unallocated,0
2012,Housing and Community Development,Community Support Projects,Bright Start,0
2012,Housing and Community Development,Community Support Projects,Park Heights,2734513
2012,Housing and Community Development,Community Support Projects,Centro De La Communidad,221
2012,Housing and Community Development,Community Support Projects,Ridgely's Delight,0
2012,Housing and Community Development,Community Support Projects,Community Law Center,0
2012,Housing and Community Development,Community Support Projects,Baltimore City Literacy Corporation,37028
2012,Housing and Community Development,Community Support Projects,Creative Alliance,61985
2012,Housing and Community Development,Community Support Projects,Upton,0
2012,Housing and Community Development,Community Support Projects,Women Entrepreneurs,0
2012,Housing and Community Development,Community Support Projects,Living Classrooms,351286
2012,Housing and Community Development,Community Support Projects,Civic Works,138155
2012,Housing and Community Development,Community Support Projects,Community Mediation Program,66913
2012,Housing and Community Development,Community Support Projects,Wyman Park Tutorial Program,12739
2012,Housing and Community Development,Community Support Projects,CASA of Maryland,0
2012,Housing and Community Development,Community Support Projects,Coppin Heights Comm Dev Corp,39340
2012,Housing and Community Development,Community Support Projects,Caroline Friess Center,0
2012,Housing and Community Development,Community Support Projects,Neighborhood Progress Administration,0
2012,Housing and Community Development,Community Support Projects,Govans Neighborhood Housing Services,165211
2012,Housing and Community Development,Community Support Projects,Innovative Housing Institute,61480
2012,Housing and Community Development,Community Support Projects,Default Activity,38957
2012,Housing and Community Development,Community Support Projects,Govans Manpower Service Center,79402
2012,Housing and Community Development,Community Support Projects,Greater Homewood Community Corp,174933
2012,Housing and Community Development,Community Support Projects,Franklin Square,81294
2012,Housing and Community Development,Community Support Projects,Default Activity,22000
2012,Housing and Community Development,Community Support Projects,Parks and People Foundation,87951
2012,Housing and Community Development,Community Support Projects,Middle East,314485
2012,Housing and Community Development,Community Support Projects,For Historical Use Only,72073
2012,Housing and Community Development,Community Support Projects,Reservoir Hill Improvement Council,0
2012,Housing and Community Development,Community Support Projects,Chesapeake Center for Youth Development,38664
2012,Housing and Community Development,Community Support Projects,Community Housing Associates,90611
2012,Housing and Community Development,Community Support Projects,Parks and People ‐ Green/Youth,294181
2012,Housing and Community Development,Community Support Projects,Empire Homes,0
2012,Housing and Community Development,Community Support Projects,Park Heights Renaissance,207142
2012,Housing and Community Development,Community Support Projects,Trash Pick‐up Assistance,78850
2012,Housing and Community Development,Community Support Projects,Administration,1353392
2012,Housing and Community Development,Community Support Projects,Baltimore Green Space,25000
2012,Housing and Community Development,Community Support Projects,Park Heights Tutorial Project,74262
2012,Housing and Community Development,Community Support Projects,NONE,0
2012,Housing and Community Development,Before and After Care,Child Care Administration,172098
2012,Housing and Community Development,Before and After Care,Northwood Child Care Center,119034
2012,Housing and Community Development,Before and After Care,Waverly Child Care Center,168515
2012,Housing and Community Development,Before and After Care,Dunbar Child Care Center,249229
2012,Housing and Community Development,Before and After Care,BCCC Child Care Center,424076
2012,Housing and Community Development,Administration  HCD,Research and Strategic Planning,437087
2012,Housing and Community Development,Administration  HCD,Budget and Accounting,934457
2012,Housing and Community Development,Administration  HCD,Communications,233415
2012,Housing and Community Development,Administration  HCD,Executive Direction and Control,470827
2012,Housing and Community Development,Administration  HCD,Facilities Management,28639
2012,Housing and Community Development,Administration  HCD,Housing Stat,273
2012,Housing and Community Development,Administration  HCD,Information Technology,258022
2012,Housing and Community Development,Administration  HCD,Personnel,261595
2012,Housing and Community Development,Administration  HCD,"Strategic Planning, Policy and Programs",248085
2012,Housing and Community Development,Administration  HCD,Fair Housing Office,0
2012,Housing and Community Development,Administration  HCD,Workers Compensation Expenses,199405
2012,Housing and Community Development,Energy Assistance,Meap Program,2003238
2012,Housing and Community Development,Energy Assistance,Weatherization,628021
2012,Housing and Community Development,Energy Assistance,Weatherization Program Delivery,88128
2012,Housing and Community Development,Energy Assistance,Office of Home Energy Coordination,0
2012,Housing and Community Development,Energy Assistance,Section  Outreach,0
2012,Housing and Community Development,Energy Assistance,Weatherization‐Program Operations,0
2012,Housing and Community Development,Energy Assistance,Weatherization‐Program Support,0
2012,Housing and Community Development,Energy Assistance,Weatherization‐Training and Tech Assist,0
2012,Housing and Community Development,Energy Assistance,Weatherization‐Administration,0
2012,Housing and Community Development,Energy Assistance,Weatherization‐Intake,0
2012,Housing and Community Development,Dawson Center,Dawson Center,173735
2012,Housing and Community Development,Promote Homeownership,Homeownership,406816
2012,Housing and Community Development,Housing Code Enforcement,Administration,632772
2012,Housing and Community Development,Housing Code Enforcement,Code Enforcement Legal,856146
2012,Housing and Community Development,Housing Code Enforcement,Notice Production/Constituent Services,85851
2012,Housing and Community Development,Housing Code Enforcement,Property Maintainance Code Enforcement,8447753
2012,Housing and Community Development,Housing Code Enforcement,Special Investigations,619859
2012,Housing and Community Development,Housing Code Enforcement,Systems Programming /Mtg,354272
2012,Housing and Community Development,Housing Code Enforcement,Demolition Contracts,271562
2012,Housing and Community Development,Register and License Properties and Contractors,License and Register Contractors,74567
2012,Housing and Community Development,Register and License Properties and Contractors,Property Registration and MFD Licensing,385893
2012,Housing and Community Development,Affordable Housing,Housing Development Finance and Project Management,1336180
2012,Housing and Community Development,Blight Elimination,Land Resources,1866243
2012,Housing and Community Development,Housing Rehabilitation Loans,Housing Rehabilitation Loans,947079
2012,Housing and Community Development,Housing Rehabilitation Loans,Lead Abatement,1075975
2012,Housing and Community Development,Building and Zoning Inspections and Permits,Construction Code Enforcement,2541672
2012,Housing and Community Development,Building and Zoning Inspections and Permits,Demolition Inspection,155264
2012,Housing and Community Development,Building and Zoning Inspections and Permits,Permit Processing,787891
2012,Housing and Community Development,Building and Zoning Inspections and Permits,Plans Examining (permit review),687487
2012,Housing and Community Development,Building and Zoning Inspections and Permits,Zoning Enforcement,90691
2012,Housing and Community Development,Building and Zoning Inspections and Permits,Zoning/Permit Processing/ Plans Review and Enforcement,643004
2012,Housing and Community Development,Community Outreach Services,Ombudsmans Office,1511299
2012,Housing and Community Development,Summer Food Service Program,Summer Food Service Program,3388076
2012,Housing and Community Development,Retention Expansion and Attraction of Businesses,"Retention, Expansion, and Attraction of Businesses",1037739
2012,Housing and Community Development,Real Estate Development,Real Estate Development,1499845
2012,Housing and Community Development,Inner Harbor Coordination,Inner Harbor Coordinator,0
2012,Housing and Community Development,Inner Harbor Coordination,Waterfront Partnership,506000
2012,Housing and Community Development,Business Support  Small Business Resource Center,Business Support ‐ Small Business Resource Center,144000
2012,Housing and Community Development,Technology Development  Emerging Technology Center,Technology Development ‐ Emerging Technology Center,675000
2012,Housing and Community Development,Improve and Promote Retail Districts Beyond Downtown,Improve and Promote Retail Districts Beyond Downtown,765534
2012,Housing and Community Development,Live Baltimore,Live Baltimore,315000
2012,Human Resources,Administration  Human Resources,Administration ‐ Human Resources,1461935
2012,Human Resources,Administration  Human Resources,Workers Compensation Expenses,2049
2012,Human Resources,Benefits Administration,Benefits Administration,2457569
2012,Human Resources,Benefits Administration,HRIS Operations,2089826
2012,Human Resources,Benefits Administration,Actuarial Services,0
2012,Human Resources,Civil Service Management,Civil Service Management,900502
2012,Human Resources,COB University,COB University,177686
2012,Human Resources,COB University,Workers Compensation Expenses,0
2012,Law,Administration  Law,Administration,668557
2012,Law,Administration  Law,Workers Compensation Expenses,26462
2012,Law,Controversies,Central Bureau of Investigation,6825506
2012,Law,Transactions,Collections,1236144
2012,Law,Minority and Womens Business Opportunity Office,Minority and Women's Business Opportunity Office,444691
2012,Law,Police Legal Affairs,Representation and Advice for Law Enforcement,493208
2012,Legislative Reference,Legislative Reference Services,Legislative Reference Services,452653
2012,Legislative Reference,Legislative Reference Services,Code Revision,2181
2012,Legislative Reference,Legislative Reference Services,Workers' Compensation Expenses,75
2012,Legislative Reference,Archives and Records Management,Archives and Records Management Office,434832
2012,Liquor License Board,Liquor Licensing,Liquor Control,675512
2012,Liquor License Board,Liquor Licensing,Worker's Compensation Expenses,0
2012,Liquor License Board,Liquor License Compliance,Liquor License Compliance,1239948
2012,Liquor License Board,Liquor License Compliance,Workers Compensation Expenses,34966
2012,Mayoralty,Executive Direction and Control  Mayoralty,Executive Direction and Control,2930117
2012,Mayoralty,Executive Direction and Control  Mayoralty,State Relations,653407
2012,Mayoralty,Executive Direction and Control  Mayoralty,Office of Community Projects,1186694
2012,Mayoralty,Executive Direction and Control  Mayoralty,Workers' Compensation Expenses,7304
2012,Art and Culture,Art and Culture Grants,Baltimore Symphony Orchestra Association,129473
2012,Art and Culture,Art and Culture Grants,Walters Art Gallery Other Personnel Costs,1604616
2012,Art and Culture,Art and Culture Grants,Walters Art Gallery General Expenses,213500
2012,Art and Culture,Art and Culture Grants,Baltimore Museum of Art Other Personnel Costs,1584157
2012,Art and Culture,Art and Culture Grants,Baltimore Museum of Art General Expenses,430850
2012,Art and Culture,Art and Culture Grants,Maryland Zoo in Baltimore,540000
2012,Art and Culture,Events Art Culture and Film,Events and Festivals,1906419
2012,Art and Culture,Bromo Seltzer Arts Tower,Bromo Seltzer Arts Tower,172922
2012,Baltimore City Public Schools,Baltimore City Public Schools,Required Maintenance of Effort (MOE),201343259
2012,Baltimore City Public Schools,Baltimore City Public Schools,Transition Services,4343623
2012,Baltimore City Public Schools,Baltimore City Public Schools,BCPSS Termination Leave,2800000
2012,Baltimore City Public Schools,Baltimore City Public Schools,Retirees Health Contribution,40767144
2012,Baltimore City Public Schools,Baltimore City Public Schools,Teacher Pension,0
2012,Cable and Communications,Media Production,Media Production,995635
2012,Cable and Communications,Media Production,Worker's Compensation Expenses,0
2012,Civic Promotion,Civic Promotion Grants,City Tourism (Mayor's Office),2903
2012,Civic Promotion,Civic Promotion Grants,Baltimore Heritage Area,0
2012,Civic Promotion,Civic Promotion Grants,Lexington Market,175000
2012,Civic Promotion,Civic Promotion Grants,Baltimore Public Markets,140000
2012,Civic Promotion,Civic Promotion Grants,Chesapeake Translational Initiative,0
2012,Civic Promotion,Convention Sales and Tourism Marketing,Pride of Baltimore,13000
2012,Civic Promotion,Convention Sales and Tourism Marketing,Sail Baltimore,10000
2012,Civic Promotion,Convention Sales and Tourism Marketing,Visit Baltimore,9894021
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Aquarium,54605
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Municipal Telephone Exchange,0
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Finance,216483
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Convention Complex,100991
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Baltimore City Public Schools,1454688
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Mayoralty ‐ Legislative Liaison,20631
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Fire,840670
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Fire and Police Communications,8538345
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Fleet Replacement,0
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Housing and Community Development,182987
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Housing and Community Development,155827
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Housing and Community Development,700000
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Housing and Community Development ‐ Columbus Center,1769102
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Police,1296429
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Public Buildings,11579519
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Recreation and Parks,1443214
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Education‐Related,44833
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Art and Culture,44833
2012,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Unallocated,1962325
2012,Contingent Fund,Contingent Fund,Contingent Fund,71051
2012,Convention Center Hotel,Convention Center Hotel,Debt Service,6618546
2012,Convention Center Hotel,Convention Center Hotel,Hotel Occupancy Tax,0
2012,Convention Complex,st Mariner Arena Operations,st Mariner Arena Operations,1212483
2012,Convention Complex,Convention Center,Executive/Administration,1431808
2012,Convention Complex,Convention Center,Sales and Marketing,988513
2012,Convention Complex,Convention Center,Client Services,3842185
2012,Convention Complex,Convention Center,Building Services,7559679
2012,Convention Complex,Convention Center,Public Safety,2041001
2012,Convention Complex,Convention Center,Transfers,0
2012,Convention Complex,Convention Center,Workers' Compensation Expenses,249127
2012,Convention Complex,Convention Center Debt Service,Convention Center Debt Service,0
2012,Debt Service,General Debt Service,Aquarium,905702
2012,Debt Service,General Debt Service,Municipal Telephone Exchange,163625
2012,Debt Service,General Debt Service,City Museums,673828
2012,Debt Service,General Debt Service,Health,331229
2012,Debt Service,General Debt Service,Baltimore City Public Schools ‐ Beverage Tax,0
2012,Debt Service,General Debt Service,Baltimore City Public Schools,18242115
2012,Debt Service,General Debt Service,Fire,1094204
2012,Debt Service,General Debt Service,Highways  (MVR),12407019
